type,jan_quit,feb_quit,mar_quit,apr_quit,total_quit,jan_m,feb_m,mar_m,apr_m,total_m
การปลูกพืชล้มลุก,0,0,0,0,0,0,0,0,0,0
การปลูกธัญพืช (ยกเว้นข้าว) พืชตระกูลถั่วและพืชน้ำมัน,0,0,0,0,0,0,0,0,0,0
การปลูกข้าวโพดที่ใช้เมล็ดแก่,0,0,0,0,0,0,0,0,0,0
การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),0,0,0,0,0,0,0,0,0,0
การปลูกพืชตระกูลถั่ว,0,0,0,0,0,0,0,0,0,0
การปลูกถั่วเหลือง,0,0,0,0,0,0,0,0,0,0
การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),0,0,0,0,0,0,0,0,0,0
การปลูกข้าวจ้าว,0,0,0,0,0,0,0,0,0,0
การปลูกข้าวเหนียว,0,0,0,0,0,0,0,0,0,0
การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,0,0,1,0,1,0,0,0.2,0,0.2
การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,0,0,0,0,0,0,0,0,0,0
การปลูกพืชผักกินหัว,0,0,0,0,0,0,0,0,0,0
การปลูกพืชจำพวกรากและหัว (ยกเว้นมันสำปะหลัง),0,0,0,0,0,0,0,0,0,0
การปลูกมันสำปะหลัง,0,0,1,0,1,0,0,0.002,0,0.002
การเพาะเห็ด,0,1,0,0,1,0,1,0,0,1
การปลูกพืชผักอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,1,0,2,3,0,1,0,29,30
การปลูกอ้อย,0,0,0,0,0,0,0,0,0,0
การปลูกยาสูบ,0,0,0,0,0,0,0,0,0,0
การปลูกฝ้าย,0,0,0,0,0,0,0,0,0,0
การปลูกพืชเส้นใยอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การปลูกข้าวโพดเลี้ยงสัตว์,1,0,0,0,1,1,0,0,0,1
การปลูกพืชล้มลุกที่ใช้เป็นอาหารสัตว์ (ยกเว้นข้าวโพด เลี้ยงสัตว์),0,0,0,1,1,0,0,0,1.5,1.5
การปลูกกล้วยไม้,0,0,0,0,0,0,0,0,0,0
การปลูกไม้ดอกอื่นๆ (ยกเว้นกล้วยไม้),0,0,0,0,0,0,0,0,0,0
การปลูกพืชล้มลุกชนิดอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การทำสวนองุ่น,0,0,0,0,0,0,0,0,0,0
การปลูกสับปะรด,0,0,0,0,0,0,0,0,0,0
การปลูกทุเรียน,0,0,0,1,1,0,0,0,1,1
การปลูกลำไย,0,0,0,0,0,0,0,0,0,0
การปลูกมะม่วง,0,0,0,0,0,0,0,0,0,0
การปลูกกล้วย,0,0,0,0,0,0,0,0,0,0
การปลูกมังคุด,0,0,0,0,0,0,0,0,0,0
การปลูกเงาะ,0,0,0,0,0,0,0,0,0,0
การปลูกไม้ผลเมืองร้อนและกึ่งร้อนอื่นๆซึ่งมิได้จัดประเภท ไว้ในที่อื่น,0,0,0,1,1,0,0,0,3,3
การปลูกส้ม,0,0,0,0,0,0,0,0,0,0
การปลูกไม้ผลตระกูลส้มอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การปลูกไม้ผลเมืองหนาวอื่นๆ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การปลูกไม้ผลเปลือกแข็งที่กินได้,0,0,0,0,0,0,0,0,0,0
การปลูกไม้ผลที่มีต้นเป็นพุ่ม,0,0,0,0,0,0,0,0,0,0
การปลูกไม้ผลยืนต้นอื่นๆซึ่งมิได้จัดประเภทไว้ในทื่อื่น,0,1,0,0,1,0,5,0,0,5
การปลูกปาล์มน้ำมัน,0,0,1,0,1,0,0,5,0,5
การปลูกมะพร้าว,0,0,0,0,0,0,0,0,0,0
การปลูกไม้ยืนต้นอื่นๆที่ให้น้ำมันซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การทำไร่ชา,0,0,0,0,0,0,0,0,0,0
การทำไร่กาแฟ,0,0,0,0,0,0,0,0,0,0
การปลูกพืชอื่นๆที่นำไปทำเครื่องดื่มซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การปลูกพืชประเภทเครื่องเทศเครื่องหอมยารักษาโรคและพืชทางเภสัชภัณฑ์,0,0,0,0,0,0,0,0,0,0
การปลูกพริก,0,0,0,0,0,0,0,0,0,0
การปลูกพริกไทย,0,0,0,0,0,0,0,0,0,0
การปลูกพืชอื่นๆประเภทเครื่องเทศเครื่องหอมยารักษาโรค และพืชทางเภสัชภัณฑ์ซึ่งมิได้จัดประเภทไว้ในที่อื่น,5,6,5,1,17,14.5,13,14,2,43.5
การปลูกต้นยางพารา,0,0,0,0,0,0,0,0,0,0
การปลูกพืชที่ใช้ในการถักสาน,0,0,0,0,0,0,0,0,0,0
การปลูกพืชยืนต้นประเภทอื่นๆซึ่งมิได้จัดประเภทไว้ในที่อื่น,0,0,0,0,0,0,0,0,0,0
การทำสวนไม้ประดับ,0,0,0,0,0,0,0,0,0,0
การปลูกพืชการเพาะพันธุ์และการขยายพันธุ์พืชอื่นๆ,0,0,0,2,2,0,0,0,2,2
การเลี้ยงโคและกระบือ,0,0,0,0,0,0,0,0,0,0
การเลี้ยงโคนมและโคเนื้อ,0,0,1,0,1,0,0,5,0,5
การเลี้ยงกระบือนมและกระบือเนื้อ,0,0,0,0,0,0,0,0,0,0
